lon,lat,count
12632250,2617750,4
12584250,2703250,2
12584250,2557750,2
12608250,2621250,1
12608250,2609750,1
12613750,2629250,4
12592250,2621750,10
12690750,2596750,1
12618750,2627750,28
12618750,2560750,2
12586750,2695750,6
12586750,2627250,2
12662250,2616250,2
12646250,2635250,2
12648750,2682750,1
12584750,2623750,3
12584750,2694250,1
12651250,2598250,1
12621750,2624750,29
12605750,2673750,1
12605750,2636250,2
12661750,2701250,1
12661750,2649250,2
12688250,2627250,2
12584250,2634750,1
12584250,2701250,3
12616250,2608750,2
12605750,2657250,2
12576750,2588750,2
12608750,2654750,5
12624750,2634250,33
12640750,2591250,27
12602750,2599750,3
12666750,2629750,1
12602750,2622750,2
12634750,2648250,1
12610750,2627250,92
12674750,2637250,1
12612750,2601750,1
12668750,2577750,2
12668750,2618750,1
12636750,2595250,4
12604750,2642250,23
12591250,2613750,6
12612750,2639750,9
12599250,2622750,7
12599250,2666750,1
12681750,2644250,1
12617750,2647750,1
12585750,2636750,1
12679750,2562750,2
12618250,2638750,21
12586250,2561750,4
12586250,2700250,3
12586250,2696250,7
12690250,2613750,1
12593250,2613250,1
12675750,2566250,1
12619750,2635250,86
12603750,2635750,4
12603750,2656250,2
12609750,2659750,1
12577750,2627750,1
12660250,2652750,2
12612250,2659250,6
12684250,2609750,2
12604250,2615750,1
12600750,2626250,5
12670750,2592250,1
12638750,2593750,1
12630750,2598250,3
12630750,2632250,6
12614750,2632250,342
12598750,2621250,2
12649250,2644750,1
12696250,2571250,2
12608250,2634750,61
12608250,2638750,43
12608250,2639250,43
12690750,2562250,4
12632250,2611250,10
12629750,2655250,1
12645750,2630250,23
12589250,2605750,1
12613250,2642750,27
12661250,2617750,5
12693250,2589750,3
12693250,2609750,1
12693250,2572750,1
12618750,2609250,49
12634750,2636250,13
12666750,2590750,2
12642750,2592250,1
12674750,2638250,3
12690750,2609250,1
12686250,2565750,8
12595750,2619250,5
12609250,2594250,1
12697250,2558750,6
12617250,2611750,40
12582750,2590750,2
12598750,2634250,1
12614750,2589750,4
12614750,2633250,116
12614750,2642250,60
12608750,2632750,26
12621750,2658750,10
12621750,2593250,1
12603250,2665250,4
12640750,2652750,1
12680750,2605250,1
12696750,2562750,2
12584750,2699250,3
12598250,2621750,3
12598250,2627250,2
12585250,2696750,6
12649250,2628250,1
12614750,2672750,2
12614750,2619750,17
12614750,2631250,763
12614750,2637250,2
12590750,2616750,3
12606750,2562750,1
12638750,2720250,1
12638750,2591250,3
12654750,2614250,3
12577750,2651750,1
12678250,2614750,2
12609750,2641750,38
12587750,2619750,1
12619750,2662750,1
12651750,2631250,1
12611750,2642750,85
12593250,2619250,10
12609250,2641250,26
12596750,2580750,2
12676750,2586750,1
12692750,2606250,3
12594250,2634250,3
12690250,2611750,1
12602250,2675250,5
12631750,2607250,7
12599750,2662750,5
12615750,2606250,1
12607750,2561250,1
12687750,2577250,1
12609750,2607750,4
12647250,2587250,8
12583250,2631750,1
12584250,2698750,1
12639250,2623750,19
12687250,2559750,1
12604750,2610250,1
12585250,2674750,7
12585250,2673250,3
12585250,2698250,6
12617250,2593250,1
12617250,2609250,1
12617250,2604750,2
12617250,2637250,53
12598750,2625750,2
12662750,2591250,1
12694750,2571250,4
12590750,2567250,3
12622750,2620750,9
12620250,2638750,116
12684250,2577750,1
12580250,2631250,1
12603750,2663250,19
12619750,2640250,3
12619750,2605750,20
12619750,2654750,2
12683750,2571750,1
12609250,2573750,1
12604750,2660250,7
12604750,2623250,20
12604750,2663750,22
12596750,2641750,1
12644750,2633750,37
12594250,2613750,5
12626250,2558250,1
12618250,2630250,36
12618250,2617250,3
12695750,2575750,1
12599750,2619750,4
12599250,2627750,3
12660250,2615750,1
12660250,2645250,10
12676250,2615750,1
12609750,2597750,3
12609750,2618250,1
12609750,2666250,1
12617750,2652750,4
12607250,2633750,28
12655250,2614250,1
12639750,2692750,1
12602250,2696250,2
12618250,2660750,1
12634250,2638750,25
12679750,2609750,1
12575750,2588750,3
12591750,2641750,2
12607750,2579250,1
12687750,2578250,1
12589250,2620750,2
12621250,2644750,1
12621250,2623750,1
12628750,2613250,1
12649750,2580750,1
12631250,2632750,3
12631250,2627750,66
12655250,2610750,2
12687250,2618250,1
12620750,2610750,13
12597250,2626750,5
12692750,2563750,1
12578250,2626750,1
12610250,2635750,62
12610250,2585750,1
12610250,2629250,115
12642250,2630250,10
12658250,2623750,1
12605750,2635250,52
12621750,2613250,3
12603250,2648250,5
12619250,2612750,25
12611250,2655250,2
12624750,2616750,1
12616750,2660750,1
12616750,2626250,136
12614250,2650250,87
12678250,2663250,1
12618750,2610250,4
12642750,2638750,12
12608250,2631250,316
12615750,2669750,1
12656250,2592750,5
12664250,2618250,3
12584250,2688250,1
12616250,2627250,111
12613750,2663750,2
12696750,2578250,1
12696750,2643250,1
12640750,2590750,26
12627250,2667250,2
12616750,2613250,2
12635250,2612250,1
12635250,2673250,11
12587250,2677250,6
12587250,2678750,1
12653750,2607750,4
12637750,2658250,1
12621750,2611750,8
12693750,2674250,1
12629750,2627250,11
12673250,2663750,1
12641250,2656250,20
12609250,2641750,10
12609250,2627750,122
12593250,2615250,8
12643750,2591250,1
12611750,2628750,97
12590250,2620750,2
12614250,2665750,1
12648750,2635250,1
12632750,2600750,7
12624250,2603750,7
12648250,2631250,6
12584250,2702750,2
12600250,2569750,3
